調價日期,無鉛汽油95 
2006/7/7,28.6 
2006/4/19,27.6 
2006/2/14,25.6 
2005/10/24,24.6 
2005/8/2,25.4 
2005/3/10,23.9 
2004/12/30,22.9 
2004/9/22,23.2 
2004/7/16,22.6 
2004/3/25,22.2 
2004/1/16,21.6 
2004/1/7,20.8 
2003/12/17,20.3 
2003/11/1,19.8 
2003/9/20,20.3 
2003/8/9,20.8 
2003/4/14,19.8 
2003/4/4,20.6 
2003/2/22,21.6 
2003/1/9,20.8 
2002/12/28,20.3 
2002/10/26,20 
2002/9/27,19.6 
2002/8/20,19.2 
2002/6/1,18.2 
2002/4/10,19.2 
2001/12/8,18.2 
2001/11/17,19.2 
2001/6/29,19.5 
2001/4/5,20 
2000/11/3,20.2 
2000/10/27,20.5 
2000/9/27,20.2 
2000/9/20,20.6 
2000/8/2,19.3 
2000/6/21,19.6 
2000/3/29,19.1 
2000/2/16,18.6 
1999/12/8,18.2 
1999/11/10,17.8 
1999/9/1,17.4 
1999/8/11,17.4 
1999/7/14,17 
1999/5/12,16.6 
1999/4/7,16.3 
1999/1/6,16 
