date,weight 
2020-05,71.8
2020-06,73.1
2020-06,72.3
2020-06,72.0
2020-06,72.4
2020-06,72.4
2020-06,72.0
2020-06,72.6
2020-06,72.9
2020-06,72.6
2020-06,71.5
2020-06,72.0
2020-06,72.5
2020-06,72.9
2020-06,73.4
2020-06,72.8
2020-06,73.2
2020-06,71.3
2020-06,72.1
2020-06,70.8
2020-06,72.1
2020-06,72.1
2020-06,72.2
2020-06,71.9
2020-06,72.0
2020-06,71.6
2020-06,71.6
2020-06,71.6
2020-06,72.0
2020-06,71.6
2020-06,71.6
2020-06,72.0
2020-06,71.5
2020-06,72.0
2020-06,71.2
2020-06,71.6
2020-06,71.2
2020-06,70.9
2020-06,70.7
2020-06,70.8
2020-06,71.2
2020-06,70.8
2020-06,70.4
2020-06,70.2
2020-06,69.9
2020-06,69.9
2020-06,70.2
2020-06,70.4
2020-06,70.6
2020-06,70.4
2020-06,71.1
2020-06,70.6
2020-06,71.5
2020-06,70.3
2020-06,70.6
2020-06,70.4
2020-06,70.9
2020-06,70.5
2020-06,70.4
2020-06,71.0
2020-06,70.5
2020-06,70.2
2020-06,70.0
2020-06,69.7
2020-06,69.3
2020-06,69.5
2020-06,69.0
2020-06,68.9
2020-06,69.7
2020-06,69.4
2020-06,69.9
2020-06,69.6
2020-06,69.6
2020-06,69.6
2020-06,70.2
2020-06,70.0
2020-06,70.0
2020-06,70.0
2020-06,69.7
2020-06,70.2
2020-06,70.0
2020-06,69.8
2020-06,69.4
2020-06,69.4
2020-06,70.0
2020-06,69.6
2020-06,69.6
2020-06,69.0
2020-06,69.3
2020-06,69.3
2020-06,69.1
2020-06,69.6
2020-06,69.4
2020-06,69.8
2020-06,69.2
2020-06,69.2
2020-06,69.3
2020-06,69.5
2020-06,68.9
2020-06,69.1
2020-06,68.9
2020-06,69.7
2020-06,69.7
2020-06,69.4
2020-06,69.2
2020-06,70.0
2020-07,70.0
2020-07,69.7
2020-07,69.0
2020-07,69.6
2020-07,69.7
2020-07,70.1
2020-07,69.0
2020-07,70.0
2020-07,69.1
2020-07,69.1
2020-07,68.9
2020-07,69.3
2020-07,68.6
2020-07,68.9
2020-07,68.8
2020-07,69.2
2020-07,68.2
2020-07,67.9
2020-07,67.9
2020-07,68.0
2020-07,67.9
2020-07,68.0
2020-07,68.0
2020-07,67.9
2020-07,68.2
2020-07,68.0
2020-07,68.5
2020-07,67.9
2020-07,68.6
2020-07,68.4
2020-07,68.0
2020-07,68.5
2020-07,68.0
2020-07,67.7
2020-07,67.7
2020-07,68.2
2020-07,68.1
2020-07,67.7
2020-07,67.6
2020-07,68.0
2020-07,67.3
2020-07,67.6
2020-07,67.6
2020-07,67.6
2020-07,67.3
2020-07,67.2
2020-07,67.0
2020-07,67.0
2020-07,66.8
2020-07,67.2
2020-07,66.5
2020-07,67.2
2020-07,67.0
