sno,sna,tot,sbi,sarea,bemp
1440,華江一華江九路口,40,12,板橋區,28
1441,三光國小(金滿意),36,21,三重區,15
1442,蘆洲中路公園,34,30,蘆洲區,4
1444,雙和橋,34,19,永和區,15
1445,海山高中,52,23,板橋區,29
1446,環河西路一段95巷口,32,29,永和區,3
1447,碧河宮,40,8,中和區,32
1448,萬板文聖街口,46,34,板橋區,9
1449,明德高中,34,9,三峽區,25
1450,鳳鳴國小,32,14,鶯歌區,16
1451,林本源園邸,42,24,板橋區,17
1452,藍天大樓,36,3,三重區,32
1453,忠孝國中,46,21,板橋區,25
1454,大智公園,30,21,三重區,9
1455,國際二國際一路口,38,18,鶯歌區,19
1456,三重高中,34,7,三重區,27
1457,昌平公園,40,13,新莊區,27
1458,新北市客家文化園區,38,11,三峽區,26
1459,台北海洋科技大學,38,24,淡水區,14
1461,福和路7巷口,30,27,永和區,3
1462,捷運新店區公所站(1 號出口),42,3,新店區,37
1463,新泰游泳池,26,17,新莊區,8
1464,遠雄森林公園,36,26,樹林區,10
1465,馥華公園,34,18,板橋區,14
1466,光復高中,42,2,板橋區,39
1467,南雅育智路口,46,29,鶯歌區,17
1468,穀保家商,38,10,三重區,28
1469,文德國小(公館街),38,18,板橋區,20
1470,學成大成路口,42,23,樹林區,19
1471,石雕公園,32,13,板橋區,19
1472,民生縣民大道口,40,24,板橋區,15
1473,新北市藝文中心(文化路二段124巷),36,18,板橋區,18
1474,四維公園地下停車場,60,22,板橋區,38
1475,廣福派出所,34,26,土城區,8
1476,新和活動中心,38,26,新店區,12
1479,中悅兒童公園,36,14,三峽區,22
1480,新北市工商展覽中心,46,8,五股區,37
1481,金城裕民路口(中正國中),44,15,土城區,29
1482,圓通路335巷33弄,32,26,中和區,6
1483,海洋公園,36,22,三峽區,14
1484,浮洲合宜住宅(合宜一路),32,12,板橋區,20
1485,文山國中,30,20,新店區,10
1486,臺北大學(資訊中心),56,4,三峽區,51
1488,新莊田徑場,42,35,新莊區,7
1489,新泰國中,30,14,新莊區,16
1491,山佳火車站,32,8,樹林區,24
1492,新北市勞工活動中心,34,3,五股區,31
1493,重慶公園.,40,31,板橋區,9  

