date,lastSyncTime,steps,distance,runDistance,calories
2019-03-03,1551629949,2155,1431,112,50
2019-03-04,1551716354,6270,4136,441,125
2019-03-05,1551802768,6645,4417,699,145
2019-03-06,1551889171,6210,4074,535,132
2019-03-07,1551975588,6758,4405,469,131
2019-03-08,1552061998,9369,6148,746,200
2019-03-09,1552148395,1327,893,177,33
2019-03-10,1552234813,5334,3489,605,114
2019-03-11,1552321222,6875,4447,557,142
2019-03-12,1552407114,5667,3705,478,119
2019-03-13,1552493521,6317,4132,475,137
2019-03-14,1552581731,8298,5479,674,184
2019-03-15,1552666497,10122,6747,976,224
2019-03-16,1552752904,3491,2268,309,74
2019-03-17,1552839312,7578,5130,1528,178
2019-03-18,1552925728,7633,5016,608,162
2019-03-19,1553012132,6617,4361,638,146
2019-03-20,1553098543,6390,4194,501,131
2019-03-21,1553184954,6772,4538,654,151
2019-03-22,1553271358,8201,5445,536,174
2019-03-23,1553358394,2686,1772,345,62
2019-03-24,1553444800,3752,2654,193,96
2019-03-25,1553531208,8953,5875,684,186
2019-03-26,1553617616,11450,7513,716,240
2019-03-27,1553704024,13377,8675,740,257
2019-03-28,1553790432,7213,4721,696,153
2019-03-29,1553876840,11101,7272,849,230
2019-03-30,1553963250,3684,2456,857,91
2019-03-31,1554048430,7514,4930,428,158
2019-04-01,1554134846,7470,4876,615,153
2019-04-02,1554221437,13282,8727,716,270
2019-04-03,1554307845,19121,12646,1011,397
2019-04-04,1554394252,5147,3422,324,116
2019-04-05,1554480659,8293,5492,544,174
2019-04-06,1554567070,7384,4971,412,157
2019-04-07,1554653475,1593,1046,141,35
2019-04-08,1554739883,11663,7581,858,241
2019-04-09,1554826291,9938,6462,828,196
2019-04-10,1554912701,10202,6673,856,208
2019-04-11,1554999107,9091,5918,472,176
2019-04-12,1555085027,11144,7415,1175,239
2019-04-13,1555171435,4752,3243,286,108
2019-04-14,1555257847,4169,2712,283,91
2019-04-15,1555344265,8108,5273,642,156
2019-04-16,1555430664,3556,2322,330,72
2019-04-17,1555517074,7996,5297,745,164
2019-04-18,1555603490,7254,4701,683,148
2019-04-19,1555690732,6706,4409,580,136
2019-04-20,1555777135,3776,2481,461,88
2019-04-21,1555863553,3825,2533,370,88
2019-04-22,1555950297,11445,7627,809,237
2019-04-23,1556038070,9834,6488,721,210
2019-04-24,1556122678,9115,6104,503,189
2019-04-25,1556209089,7767,5117,491,168
2019-04-26,1556295497,10495,7081,467,214
2019-04-27,1556381906,5909,3997,436,132
2019-04-28,1556468318,3775,2522,434,87
2019-04-29,1556554721,6937,4514,725,142
2019-04-30,1556641158,6617,4283,451,136
2019-05-01,1556727548,4077,2700,551,84
2019-05-02,1556813951,6199,4037,591,120
2019-05-03,1556905754,11001,7195,739,213
2019-05-04,1556986767,3767,2464,241,79
2019-05-05,1557073176,8464,5469,407,165
2019-05-06,1557159596,6986,4556,488,137
2019-05-07,1557245994,11030,7298,1042,229
2019-05-08,1557332403,14477,9822,1161,303
2019-05-09,1557418814,8870,5871,616,179
2019-05-10,1557505223,8609,5613,752,178
2019-05-11,1557591627,7585,5226,802,171
2019-05-12,1557677846,3341,2167,263,67
2019-05-13,1557764253,17294,11804,709,355
2019-05-14,1557850662,7292,4766,671,143
2019-05-15,1557937071,16691,11447,893,355
2019-05-16,1558023478,6984,4562,765,141
2019-05-17,1558109888,7486,4961,543,160
2019-05-18,1558195557,649,443,47,15
2019-05-19,1558282710,5828,4085,1185,140
2019-05-20,1558369666,6505,4239,706,128
2019-05-21,1558456068,5897,3852,501,116
2019-05-22,1558542475,7441,4799,515,145
2019-05-23,1558628892,6223,4108,706,132
2019-05-24,1558715294,6118,3969,416,119
2019-05-25,1558801706,5857,3993,377,126
2019-05-26,1558888110,5123,3361,460,102
2019-05-27,1558972869,5432,3519,518,107
2019-05-28,1559059768,5805,3800,711,115
2019-05-29,1559146172,5478,3629,447,117
2019-05-30,1559232578,8192,5363,450,165
2019-05-31,1559318995,8427,5516,765,176
2019-06-01,1559405396,1689,1090,264,39
2019-06-02,1559491804,4158,2788,509,88
2019-06-03,1559578212,9081,6001,1110,183
2019-06-04,1559664620,8014,5398,547,165
2019-06-05,1559751033,8730,5769,731,176
2019-06-06,1559837438,8244,5500,1407,187
2019-06-07,1559923845,3140,2227,810,93
2019-06-08,1560010255,2720,1772,148,56
2019-06-09,1560097351,7441,4958,587,152
2019-06-10,1560183761,6078,3969,421,120
2019-06-11,1560269241,5831,3923,707,127
2019-06-12,1560355644,5491,3560,419,109
2019-06-13,1560442053,6317,4146,701,127
2019-06-14,1560528460,10446,7050,752,232
2019-06-15,1560614867,5169,3524,743,121
2019-06-16,1560701279,7194,4726,743,148
2019-06-17,1560787684,7011,4622,929,148
2019-06-18,1560874095,4962,3263,364,97
2019-06-19,1560960505,6323,4212,496,133
2019-06-20,1561046918,7511,4940,715,154
2019-06-21,1561133330,7373,4973,797,166
2019-06-22,1561219738,4096,2749,818,94
2019-06-23,1561306138,3389,2187,240,71
2019-06-24,1561392554,6958,4508,679,143
2019-06-25,1561478953,5979,3868,470,117
2019-06-26,1561565362,7763,5222,634,163
2019-06-27,1561651779,5125,3377,435,102
2019-06-28,1561738193,6810,4505,783,145
2019-06-29,1561824591,2910,1931,211,64
2019-06-30,1561911005,5311,3620,755,121
2019-07-01,1561997410,7577,4939,591,160
2019-07-02,1562083822,14068,9548,798,305
2019-07-03,1562170220,14699,9961,1307,316
2019-07-04,1562256639,14905,10102,978,304
2019-07-05,1562343468,5528,3675,388,117
2019-07-06,1562429883,2778,1790,436,60
2019-07-07,1562516187,4502,2938,431,92
2019-07-08,1562602588,6176,4135,484,134
2019-07-09,1562688997,4190,2725,323,85
2019-07-12,1562948006,5189,3458,449,116
2019-07-13,1563034422,2553,1801,602,68
2019-07-14,1563120830,3537,2318,553,78
2019-07-15,1563207238,7149,4768,391,151
2019-07-16,1563293645,7128,4646,482,145
2019-07-17,1563380061,8470,5566,625,176
2019-07-18,1563466459,5356,3503,338,116
2019-07-19,1563552867,6495,4369,418,142
2019-07-20,1563639283,2878,1947,283,69
2019-07-21,1563725703,4919,3201,399,101
2019-07-22,1563812091,7372,4887,416,153
2019-07-23,1563898500,8364,5496,662,176
2019-07-24,1563984909,10273,6709,768,213
2019-07-25,1564071318,6171,4061,450,127
2019-07-26,1564157749,7233,4790,539,153
2019-07-27,1564244133,2136,1449,173,54
2019-07-28,1564330539,3686,2428,220,78
2019-07-29,1564416948,7037,4572,483,139
2019-07-30,1564503364,14189,9438,969,295
2019-07-31,1564589771,11821,7935,488,248
2019-08-01,1564676175,8048,5295,743,177
2019-08-02,1564762584,8190,5581,578,179
2019-08-03,1564848999,4035,2673,467,85
2019-08-04,1564935408,5431,3704,603,125
2019-08-05,1565021818,10007,6646,838,210
2019-08-06,1565108219,8383,5546,630,170
2019-08-07,1565196429,7895,5292,868,178
2019-08-08,1565281060,2288,1512,149,47
2019-08-09,1565367451,4242,2841,691,95
2019-08-10,1565453860,3822,2529,301,83
2019-08-11,1565540277,4451,2948,599,102
2019-08-12,1565626680,16064,10980,670,352
2019-08-13,1565713090,11413,7539,590,236
2019-08-14,1565799507,12263,8290,591,258
2019-08-15,1565885909,10970,7415,830,235
2019-08-16,1565972325,8495,5964,657,199
2019-08-17,1566058746,7996,5418,399,169
2019-08-18,1566145167,6928,4718,645,153
2019-08-19,1566231582,8814,5904,938,192
2019-08-20,1566318000,9493,6259,885,197
2019-08-21,1566404412,9967,6583,584,207
2019-08-22,1566490837,9900,6475,804,211
2019-08-23,1566577237,21993,14455,1470,440
2019-08-24,1566663662,7056,4619,539,154
2019-08-25,1566750058,6488,4239,467,141
2019-08-26,1566836267,14829,9614,1084,298
2019-08-27,1566922765,9521,6182,537,208
2019-08-28,1567009085,10298,6702,844,221
2019-08-29,1567095497,8230,5386,541,169
2019-08-30,1567181904,12254,7959,841,254
2019-08-31,1567268315,7057,4568,582,145
2019-09-01,1567354730,8296,5372,381,169
2019-09-02,1567441136,9947,6554,793,206
2019-09-03,1567527543,11457,7624,691,242
2019-09-04,1567613951,6424,4243,573,143
2019-09-05,1567700360,7327,4759,578,154
2019-09-06,1567786782,7905,5281,585,175
2019-09-07,1567873186,1671,1087,256,38
2019-09-08,1567959595,4989,3246,426,103
2019-09-09,1568045996,8003,5191,564,166
2019-09-10,1568132410,7882,5149,639,166
2019-09-11,1568218814,8425,5512,699,183
2019-09-12,1568305223,7391,4785,499,147
2019-09-13,1568391633,7808,5068,578,164
2019-09-14,1568478038,6038,4187,920,138
2019-09-15,1568564462,5361,3593,482,114
2019-09-16,1568653012,6768,4396,486,130
2019-09-17,1568737637,6751,4402,593,139
2019-09-18,1568824033,16229,11036,922,343
2019-09-19,1568910446,8643,5699,564,184
2019-09-20,1568995380,8062,5369,630,169
2019-09-21,1569083261,7527,5044,408,156
2019-09-22,1569169669,3350,2185,368,77
2019-09-23,1569256077,8219,5348,734,167
2019-09-24,1569342494,6137,3996,346,131
